ID_SECCION,NOMBRE,ANIO,CICLO,CURSO_ID_CURSO,DOCENTE_ID_DOCENTE,CUPO,ESTADO
801102,.G,2021,1,1,1734,59,CERRADA
801973,E,2021,1,5,1002,38,CERRADA
802003,R,2021,1,19,1013,35,CERRADA
801490,_E,2021,1,74,2122,61,CERRADA
800757,_C,2021,1,75,1389,59,CERRADA
802045,H2,2021,1,82,1024,63,CERRADA
800762,_R,2021,1,90,1394,61,CERRADA
802127,D+,2021,1,198,1051,45,CERRADA
801885,_G,2021,1,198,2517,56,CERRADA
800057,C,2021,1,209,1056,50,CERRADA
801530,M1,2021,1,214,2162,61,CERRADA
802168,C-,2021,1,216,1063,38,CERRADA
802170,U,2021,1,218,1063,63,CERRADA
802192,14,2021,1,232,1070,58,CERRADA
801187,I1,2021,1,248,1819,54,CERRADA
802297,15,2021,1,302,1104,59,CERRADA
800472,Y,2021,1,311,1104,42,CERRADA
802321,_2,2021,1,324,1111,30,CERRADA
800479,_N,2021,1,332,1111,34,CERRADA
801214,.E,2021,1,335,1846,43,CERRADA
802338,02,2021,1,349,1117,47,CERRADA
801220,06,2021,1,356,1852,50,CERRADA
802348,X,2021,1,356,1120,62,CERRADA
802354,A1,2021,1,360,1122,63,CERRADA
800862,R+,2021,1,370,1494,35,CERRADA
800130,R,2021,1,380,1129,47,CERRADA
801232,C+,2021,1,382,1864,33,CERRADA
802417,M3,2021,1,412,1141,64,CERRADA
802426,O+,2021,1,418,1143,65,CERRADA
800532,_D,2021,1,458,1164,54,CERRADA
802502,N-,2021,1,462,1168,33,CERRADA
801639,J2,2021,1,482,2271,51,CERRADA
802540,_D,2021,1,512,1180,46,CERRADA
800188,03,2021,1,550,1187,32,CERRADA
800555,B2,2021,1,550,1187,56,CERRADA
801293,E-,2021,1,603,1925,45,CERRADA
802582,J,2021,1,603,1193,49,CERRADA
802602,M1,2021,1,620,1198,62,CERRADA
802612,14,2021,1,634,1201,53,CERRADA
800938,05,2021,1,637,1570,58,CERRADA
800945,7,2021,1,649,1577,55,CERRADA
800579,Q,2021,1,650,1211,39,CERRADA
800582,S+,2021,1,654,1214,60,CERRADA
801345,C-,2021,1,722,1977,60,CERRADA
802774,E+,2021,1,739,1253,61,CERRADA
800257,H1,2021,1,771,1256,38,CERRADA
801726,03,2021,1,772,2358,33,CERRADA
800629,M2,2021,1,776,1261,56,CERRADA
800630,N,2021,1,777,1262,63,CERRADA
801367,P4,2021,1,780,1999,46,CERRADA
802825,E2,2021,1,785,1269,56,CERRADA
802834,C-,2021,1,788,1272,31,CERRADA
801028,P-,2021,1,975,1660,53,CERRADA
800294,P4,2021,1,975,1293,31,CERRADA
801029,P4,2021,1,980,1661,40,CERRADA
801400,B2,2021,1,1034,2032,54,CERRADA
802926,U,2021,1,1056,1300,55,CERRADA
802956,Z1,2021,1,1091,1310,53,CERRADA
801783,05,2021,1,2002,2415,45,CERRADA
801051,06,2021,1,2004,1683,59,CERRADA
801789,6,2021,1,2009,2421,41,CERRADA
803100,O+,2021,1,7982,1355,51,CERRADA
801090,T+,2021,1,7984,1722,43,CERRADA
801857,E2,2021,2,74,2489,27,CERRADA
800761,_O,2021,2,89,1393,33,CERRADA
802057,N+,2021,2,90,1029,42,CERRADA
802069,Z1,2021,2,107,1032,34,CERRADA
800470,T,2021,2,302,1102,26,CERRADA
802302,O+,2021,2,311,1105,22,CERRADA
801580,H1,2021,2,332,2212,26,CERRADA
801954,1+,2021,2,356,2586,38,CERRADA
802360,P,2021,2,362,1123,22,CERRADA
800881,03,2021,2,423,1513,39,CERRADA
800153,_B,2021,2,434,1152,28,CERRADA
802470,.O,2021,2,441,1158,37,CERRADA
802484,A2,2021,2,454,1161,32,CERRADA
800176,.I,2021,2,508,1175,42,CERRADA
800546,1-,2021,2,512,1178,22,CERRADA
801300,I2,2021,2,620,1932,35,CERRADA
800570,K3,2021,2,636,1202,44,CERRADA
800574,N+,2021,2,640,1206,23,CERRADA
801685,D2,2021,2,656,2317,33,CERRADA
802689,04,2021,2,666,1226,24,CERRADA
802701,B2,2021,2,672,1229,28,CERRADA
800984,_H,2021,2,736,1616,20,CERRADA
802910,02,2021,2,980,1295,45,CERRADA
800310,V,2021,2,1093,1309,35,CERRADA
802988,_4,2021,2,2006,1320,35,CERRADA
803013,.A,2021,2,3116,1327,24,CERRADA
800733,F1,2021,2,7999,1365,41,CERRADA
801100,_R,2021,2,7999,1732,33,CERRADA
800016,.U,2021,3,39,1015,34,CERRADA
802020,D2,2021,3,40,1016,16,CERRADA
800018,02,2021,3,60,1017,17,CERRADA
802038,S-,2021,3,74,1023,33,CERRADA
800766,.P,2021,3,107,1398,23,CERRADA
800449,E3,2021,3,243,1081,19,CERRADA
800486,01,2021,3,356,1118,31,CERRADA
800861,Q+,2021,3,369,1493,28,CERRADA
800512,J1,2021,3,419,1144,26,CERRADA
802488,A-,2021,3,455,1163,32,CERRADA
801713,_2,2021,3,724,2345,16,CERRADA
802808,G,2021,3,777,1263,17,CERRADA
802816,DM,2021,3,780,1265,20,CERRADA
800657,07,2021,3,969,1289,17,CERRADA
802908,G,2021,3,975,1295,18,CERRADA
801404,D4,2021,3,1065,2036,30,CERRADA
801053,1-,2021,3,2006,1685,17,CERRADA
800714,09,2021,3,7902,1346,31,CERRADA
802000,_2,2021,4,19,1010,24,CERRADA
801586,M-,2021,4,354,2218,23,CERRADA
802009,5,2021,5,27,1014,56,CERRADA
802042,Y1,2021,5,80,1023,61,CERRADA
801862,H2,2021,5,89,2494,39,CERRADA
801136,M2,2021,5,116,1768,30,CERRADA
800774,3,2021,5,147,1406,51,CERRADA
802107,09,2021,5,156,1044,36,CERRADA
800046,A+,2021,5,172,1045,39,CERRADA
802112,H,2021,5,172,1045,64,CERRADA
800420,_F,2021,5,202,1052,58,CERRADA
802140,_G,2021,5,204,1055,40,CERRADA
800064,D1,2021,5,218,1063,64,CERRADA
801541,U,2021,5,234,2173,36,CERRADA
802223,03,2021,5,241,1081,37,CERRADA
800083,F2,2021,5,244,1082,63,CERRADA
801185,G1,2021,5,245,1817,55,CERRADA
802239,E4,2021,5,246,1086,35,CERRADA
801554,.N,2021,5,248,2186,39,CERRADA
