SECCION_ID_SECCION,SECCION_CURSO_ID_CURSO,SECCION_ANIO,SECCION_CICLO,PERIODO_ID_PERIODO,DIA_ID_DIA,SALON_ID_SALON,SALON_EDIFICIO_ID_EDIFICIO
800057,209,2021,1,28,1,30,10
800057,209,2021,1,35,1,30,10
800130,380,2021,1,28,1,64,2
800130,380,2021,1,35,1,64,2
800188,550,2021,1,28,1,81,4
800188,550,2021,1,35,1,81,4
800257,771,2021,1,28,1,68,2
800257,771,2021,1,35,1,68,2
800294,975,2021,1,28,1,89,6
800294,975,2021,1,35,1,89,6
800472,311,2021,1,28,1,20,12
800472,311,2021,1,35,1,20,12
800479,332,2021,1,14,1,88,3
800479,332,2021,1,56,1,88,3
800532,458,2021,1,14,1,16,6
800532,458,2021,1,56,1,16,6
800555,550,2021,1,28,1,95,2
800555,550,2021,1,35,1,95,2
800579,650,2021,1,28,1,93,11
800579,650,2021,1,35,1,93,11
800582,654,2021,1,14,1,4,11
800582,654,2021,1,56,1,4,11
800629,776,2021,1,28,1,99,2
800629,776,2021,1,35,1,99,2
800630,777,2021,1,14,1,77,12
800630,777,2021,1,56,1,77,12
800757,75,2021,1,14,1,56,10
800757,75,2021,1,56,1,56,10
800762,90,2021,1,14,1,85,2
800762,90,2021,1,56,1,85,2
800862,370,2021,1,14,1,22,4
800862,370,2021,1,56,1,22,4
800938,637,2021,1,28,1,56,10
800938,637,2021,1,35,1,56,10
800945,649,2021,1,28,1,96,2
800945,649,2021,1,35,1,96,2
801028,975,2021,1,28,1,92,1
801028,975,2021,1,35,1,92,1
801029,980,2021,1,28,1,86,2
801029,980,2021,1,35,1,86,2
801051,2004,2021,1,28,1,4,11
801051,2004,2021,1,35,1,4,11
801090,7984,2021,1,14,1,20,12
801090,7984,2021,1,56,1,20,12
801102,1,2021,1,28,1,77,12
801102,1,2021,1,35,1,77,12
801187,248,2021,1,28,1,16,6
801187,248,2021,1,35,1,16,6
801214,335,2021,1,28,1,41,12
801214,335,2021,1,35,1,41,12
801220,356,2021,1,28,1,67,12
801220,356,2021,1,35,1,67,12
801232,382,2021,1,14,1,89,6
801232,382,2021,1,56,1,89,6
801293,603,2021,1,28,1,21,2
801293,603,2021,1,35,1,21,2
801345,722,2021,1,28,1,85,2
801345,722,2021,1,35,1,85,2
801367,780,2021,1,28,1,5,2
801367,780,2021,1,35,1,5,2
801400,1034,2021,1,28,1,14,6
801400,1034,2021,1,35,1,14,6
801490,74,2021,1,14,1,87,5
801490,74,2021,1,56,1,87,5
801530,214,2021,1,28,1,87,5
801530,214,2021,1,35,1,87,5
801639,482,2021,1,28,1,84,2
801639,482,2021,1,35,1,84,2
801726,772,2021,1,28,1,88,3
801726,772,2021,1,35,1,88,3
801783,2002,2021,1,28,1,10,4
801783,2002,2021,1,35,1,10,4
801789,2009,2021,1,28,1,97,2
801789,2009,2021,1,35,1,97,2
801885,198,2021,1,14,1,95,2
801885,198,2021,1,56,1,95,2
801973,5,2021,1,28,1,32,6
801973,5,2021,1,35,1,32,6
802003,19,2021,1,28,1,22,4
802003,19,2021,1,35,1,22,4
802045,82,2021,1,28,1,94,6
802045,82,2021,1,35,1,94,6
802127,198,2021,1,14,1,21,2
802127,198,2021,1,56,1,21,2
802168,216,2021,1,28,1,76,2
802168,216,2021,1,35,1,76,2
802170,218,2021,1,28,1,66,10
802170,218,2021,1,35,1,66,10
802192,232,2021,1,28,1,72,11
802192,232,2021,1,35,1,72,11
802297,302,2021,1,28,1,39,6
802297,302,2021,1,35,1,39,6
802321,324,2021,1,14,1,100,6
802321,324,2021,1,56,1,100,6
802338,349,2021,1,28,1,50,6
802338,349,2021,1,35,1,50,6
802348,356,2021,1,28,1,74,4
802348,356,2021,1,35,1,74,4
802354,360,2021,1,28,1,36,2
802354,360,2021,1,35,1,36,2
802417,412,2021,1,28,1,54,2
802417,412,2021,1,35,1,54,2
802426,418,2021,1,14,1,94,6
802426,418,2021,1,56,1,94,6
802502,462,2021,1,14,1,58,2
802502,462,2021,1,56,1,58,2
802540,512,2021,1,14,1,5,2
802540,512,2021,1,56,1,5,2
802582,603,2021,1,28,1,57,6
802582,603,2021,1,35,1,57,6
802602,620,2021,1,28,1,26,4
802602,620,2021,1,35,1,26,4
802612,634,2021,1,28,1,15,2
802612,634,2021,1,35,1,15,2
802774,739,2021,1,14,1,66,10
802774,739,2021,1,56,1,66,10
802825,785,2021,1,28,1,59,6
802825,785,2021,1,35,1,59,6
802834,788,2021,1,28,1,58,2
802834,788,2021,1,35,1,58,2
802926,1056,2021,1,28,1,90,2
802926,1056,2021,1,35,1,90,2
802956,1091,2021,1,28,1,18,6
802956,1091,2021,1,35,1,18,6
803100,7982,2021,1,14,1,67,12
803100,7982,2021,1,56,1,67,12
800153,434,2021,2,14,6,61,2
800176,508,2021,2,7,6,20,12
800310,1093,2021,2,7,6,22,4
800470,302,2021,2,7,6,29,2
800546,512,2021,2,7,6,44,2
800570,636,2021,2,7,6,76,2
800574,640,2021,2,14,6,19,2
800733,7999,2021,2,7,6,86,2
800761,89,2021,2,14,6,89,6
800881,423,2021,2,7,6,68,2
800984,736,2021,2,14,6,73,6
801100,7999,2021,2,14,6,88,3
801300,620,2021,2,7,6,58,2
801580,332,2021,2,7,6,17,6
801685,656,2021,2,14,6,22,4
801857,74,2021,2,7,6,61,2
801954,356,2021,2,14,6,68,2
802057,90,2021,2,14,6,20,12
802069,107,2021,2,7,6,88,3
802302,311,2021,2,14,6,44,2
802360,362,2021,2,7,6,91,11
802470,441,2021,2,7,6,2,2
802484,454,2021,2,7,6,81,4
802689,666,2021,2,7,6,19,2
802701,672,2021,2,7,6,49,11
802910,980,2021,2,7,6,21,2
802988,2006,2021,2,14,6,58,2
803013,3116,2021,2,7,6,33,6
800016,39,2021,3,7,5,88,3
800018,60,2021,3,7,5,73,6
800449,243,2021,3,7,5,44,2
800486,356,2021,3,7,5,81,4
800512,419,2021,3,7,5,29,2
800657,969,2021,3,7,5,91,11
800714,7902,2021,3,7,5,89,6
800766,107,2021,3,7,5,19,2
800861,369,2021,3,14,5,61,2
801053,2006,2021,3,7,5,33,6
801404,1065,2021,3,14,5,100,6
801713,724,2021,3,14,5,73,6
802020,40,2021,3,14,5,44,2
802038,74,2021,3,7,5,22,4
802488,455,2021,3,7,5,58,2
802808,777,2021,3,7,5,31,2
802816,780,2021,3,14,5,91,11
802908,975,2021,3,7,5,13,12
801586,354,2021,4,7,6,19,2
802000,19,2021,4,14,6,19,2
800046,172,2021,5,14,2,68,2
800046,172,2021,5,56,2,68,2
800064,218,2021,5,14,2,77,12
800064,218,2021,5,56,2,77,12
800083,244,2021,5,28,2,77,12
800083,244,2021,5,35,2,77,12
800107,316,2021,5,28,2,64,2
800107,316,2021,5,35,2,64,2
800151,432,2021,5,14,2,93,11
800151,432,2021,5,56,2,93,11
800197,613,2021,5,28,2,67,12
800197,613,2021,5,35,2,67,12
800252,739,2021,5,28,2,20,12
800252,739,2021,5,35,2,20,12
800298,1025,2021,5,28,2,95,2
800298,1025,2021,5,35,2,95,2
800301,1059,2021,5,28,2,81,4
800301,1059,2021,5,35,2,81,4
800306,1076,2021,5,28,2,85,2
800306,1076,2021,5,35,2,85,2
800420,202,2021,5,14,2,56,10
800420,202,2021,5,56,2,56,10
800453,248,2021,5,28,2,87,5
800453,248,2021,5,35,2,87,5
800462,282,2021,5,14,2,96,2
800462,282,2021,5,56,2,96,2
800488,360,2021,5,28,2,56,10
800488,360,2021,5,35,2,56,10
800520,434,2021,5,28,2,50,6
800520,434,2021,5,35,2,50,6
800557,585,2021,5,14,2,85,2
800557,585,2021,5,56,2,85,2
800569,634,2021,5,28,2,4,11
800569,634,2021,5,35,2,4,11
800602,702,2021,5,14,2,87,5
800602,702,2021,5,56,2,87,5
800667,1056,2021,5,28,2,2,2
800667,1056,2021,5,35,2,2,2
800670,1065,2021,5,14,2,20,12
800670,1065,2021,5,56,2,20,12
800710,5011,2021,5,28,2,58,2
800710,5011,2021,5,35,2,58,2
800717,7913,2021,5,28,2,89,6
800717,7913,2021,5,35,2,89,6
800722,7983,2021,5,28,2,84,2
800722,7983,2021,5,35,2,84,2
800774,147,2021,5,28,2,7,6
800774,147,2021,5,35,2,7,6
800950,655,2021,5,28,2,16,6
800950,655,2021,5,35,2,16,6
800959,665,2021,5,28,2,63,11
800959,665,2021,5,35,2,63,11
801005,788,2021,5,28,2,100,6
801005,788,2021,5,35,2,100,6
801020,964,2021,5,28,2,79,7
801020,964,2021,5,35,2,79,7
801136,116,2021,5,28,2,88,3
801136,116,2021,5,35,2,88,3
801185,245,2021,5,28,2,96,2
801185,245,2021,5,35,2,96,2
801202,289,2021,5,28,2,22,4
801202,289,2021,5,35,2,22,4
801204,302,2021,5,28,2,53,10
801204,302,2021,5,35,2,53,10
801358,771,2021,5,28,2,46,4
801358,771,2021,5,35,2,46,4
801541,234,2021,5,28,2,68,2
801541,234,2021,5,35,2,68,2
801554,248,2021,5,14,2,86,2
801554,248,2021,5,56,2,86,2
801718,736,2021,5,14,2,95,2
801718,736,2021,5,56,2,95,2
801862,89,2021,5,28,2,93,11
801862,89,2021,5,35,2,93,11
801941,314,2021,5,14,2,41,12
801941,314,2021,5,56,2,41,12
802009,27,2021,5,28,2,99,2
802009,27,2021,5,35,2,99,2
802042,80,2021,5,28,2,94,6
802042,80,2021,5,35,2,94,6
802107,156,2021,5,28,2,86,2
802107,156,2021,5,35,2,86,2
802112,172,2021,5,28,2,66,10
802112,172,2021,5,35,2,66,10
802140,204,2021,5,14,2,97,2
802140,204,2021,5,56,2,97,2
802223,241,2021,5,28,2,97,2
802223,241,2021,5,35,2,97,2
802239,246,2021,5,28,2,32,6
802239,246,2021,5,35,2,32,6
802244,249,2021,5,28,2,41,12
802244,249,2021,5,35,2,41,12
802253,254,2021,5,14,2,67,12
802253,254,2021,5,56,2,67,12
802305,314,2021,5,28,2,30,10
802305,314,2021,5,35,2,30,10
802324,332,2021,5,28,2,76,2
802324,332,2021,5,35,2,76,2
802392,388,2021,5,28,2,57,6
802392,388,2021,5,35,2,57,6
802425,416,2021,5,14,2,88,3
802425,416,2021,5,56,2,88,3
802444,430,2021,5,14,2,32,6
802444,430,2021,5,56,2,32,6
802545,520,2021,5,28,2,92,1
802545,520,2021,5,35,2,92,1
802595,612,2021,5,28,2,6,6
802595,612,2021,5,35,2,6,6
802618,637,2021,5,14,2,4,11
802618,637,2021,5,56,2,4,11
802627,639,2021,5,28,2,14,6
802627,639,2021,5,35,2,14,6
802683,664,2021,5,28,2,48,8
802683,664,2021,5,35,2,48,8
802718,702,2021,5,14,2,92,1
802718,702,2021,5,56,2,92,1
802769,738,2021,5,28,2,15,2
802769,738,2021,5,35,2,15,2
802791,772,2021,5,14,2,94,6
802791,772,2021,5,56,2,94,6
802803,775,2021,5,28,2,72,11
802803,775,2021,5,35,2,72,11
802870,870,2021,5,14,2,81,4
802870,870,2021,5,56,2,81,4
802925,1056,2021,5,28,2,27,10
802925,1056,2021,5,35,2,27,10
803003,2035,2021,5,14,2,58,2
803003,2035,2021,5,56,2,58,2
803015,3118,2021,5,14,2,66,10
803015,3118,2021,5,56,2,66,10
803047,3710,2021,5,28,2,21,2
803047,3710,2021,5,35,2,21,2
803060,5010,2021,5,28,2,39,6
803060,5010,2021,5,35,2,39,6
803180,612,2021,5,28,2,10,4
803180,612,2021,5,35,2,10,4
800008,14,2021,6,7,6,22,4
800277,796,2021,6,7,6,21,2
800341,5008,2021,6,7,6,19,2
800442,236,2021,6,7,6,68,2
800661,975,2021,6,7,6,81,4
800716,7905,2021,6,7,6,100,6
800887,434,2021,6,7,6,2,2
800948,653,2021,6,7,6,76,2
801017,879,2021,6,7,6,10,4
801087,7981,2021,6,7,6,89,6
801341,710,2021,6,7,6,46,4
801482,28,2021,6,7,6,29,2
801523,206,2021,6,7,6,58,2
801552,245,2021,6,7,6,6,6
801627,450,2021,6,7,6,88,3
801774,1076,2021,6,14,6,73,6
801821,7981,2021,6,7,6,20,12
801830,7991,2021,6,14,6,68,2
801982,9,2021,6,7,6,53,10
802100,152,2021,6,7,6,93,11
802328,335,2021,6,7,6,31,2
802509,476,2021,6,7,6,33,6
802837,789,2021,6,7,6,86,2
802839,790,2021,6,7,6,25,6
802853,796,2021,6,7,6,97,2
802884,966,2021,6,7,6,32,6
802909,980,2021,6,7,6,5,2
803107,7984,2021,6,7,6,41,12
800135,392,2021,7,7,5,61,2
800155,437,2021,7,14,5,73,6
800190,585,2021,7,7,5,73,6
800690,2025,2021,7,7,5,44,2
800845,324,2021,7,14,5,100,6
800987,767,2021,7,14,5,29,2
801056,2013,2021,7,7,5,19,2
801437,3664,2021,7,14,5,44,2
801574,314,2021,7,7,5,88,3
801725,771,2021,7,7,5,22,4
801927,262,2021,7,14,5,22,4
802132,201,2021,7,7,5,49,11
802364,364,2021,7,14,5,91,11
802384,382,2021,7,14,5,19,2
802658,655,2021,7,7,5,29,2
802732,708,2021,7,7,5,91,11
803017,3118,2021,7,14,5,33,6
800033,112,2021,8,7,7,61,2
800374,11,2021,8,7,7,44,2
800510,416,2021,8,7,7,73,6
800746,22,2021,8,14,7,73,6
800812,239,2021,8,14,7,31,2
800839,311,2021,8,14,7,44,2
801634,460,2021,8,7,7,100,6
801994,17,2021,8,7,7,31,2
802004,22,2021,8,14,7,91,11
802041,75,2021,8,7,7,19,2
802419,412,2021,8,14,7,19,2
800224,664,2022,1,28,1,20,12
800224,664,2022,1,35,1,20,12
800234,700,2022,1,14,1,100,6
800234,700,2022,1,56,1,100,6
800279,798,2022,1,28,1,76,2
800279,798,2022,1,35,1,76,2
800288,967,2022,1,28,1,41,12
800288,967,2022,1,35,1,41,12
800333,3657,2022,1,14,1,20,12
800333,3657,2022,1,56,1,20,12
800359,7987,2022,1,28,1,56,10
800359,7987,2022,1,35,1,56,10
800436,224,2022,1,28,1,68,2
800436,224,2022,1,35,1,68,2
800465,285,2022,1,28,1,4,11
800465,285,2022,1,35,1,4,11
800482,348,2022,1,28,1,93,11
800482,348,2022,1,35,1,93,11
800490,362,2022,1,28,1,63,11
800490,362,2022,1,35,1,63,11
800539,486,2022,1,28,1,16,6
800539,486,2022,1,35,1,16,6
800559,603,2022,1,14,1,92,1
800559,603,2022,1,56,1,92,1
800561,608,2022,1,28,1,77,12
800561,608,2022,1,35,1,77,12
800562,610,2022,1,28,1,85,2
800562,610,2022,1,35,1,85,2
800568,632,2022,1,28,1,87,5
800568,632,2022,1,35,1,87,5
800599,676,2022,1,28,1,21,2
800599,676,2022,1,35,1,21,2
800631,778,2022,1,14,1,2,2
800631,778,2022,1,56,1,2,2
800673,1076,2022,1,14,1,41,12
800673,1076,2022,1,56,1,41,12
800689,2013,2022,1,28,1,22,4
800689,2013,2022,1,35,1,22,4
800703,3664,2022,1,14,1,81,4
800703,3664,2022,1,56,1,81,4
800707,5007,2022,1,28,1,2,2
800707,5007,2022,1,35,1,2,2
800867,388,2022,1,28,1,94,6
800867,388,2022,1,35,1,94,6
800991,771,2022,1,28,1,66,10
800991,771,2022,1,35,1,66,10
801047,1101,2022,1,14,1,77,12
801047,1101,2022,1,56,1,77,12
801160,211,2022,1,28,1,92,1
801160,211,2022,1,35,1,92,1
801184,244,2022,1,28,1,67,12
801184,244,2022,1,35,1,67,12
801186,246,2022,1,28,1,86,2
801186,246,2022,1,35,1,86,2
801223,361,2022,1,28,1,57,6
801223,361,2022,1,35,1,57,6
801240,409,2022,1,28,1,30,10
801240,409,2022,1,35,1,30,10
801339,707,2022,1,28,1,84,2
801339,707,2022,1,35,1,84,2
801340,708,2022,1,28,1,7,6
801340,708,2022,1,35,1,7,6
801355,768,2022,1,28,1,97,2
801355,768,2022,1,35,1,97,2
801376,794,2022,1,14,1,30,10
801376,794,2022,1,56,1,30,10
801428,3116,2022,1,14,1,89,6
801428,3116,2022,1,56,1,89,6
801462,7989,2022,1,28,1,72,11
801462,7989,2022,1,35,1,72,11
801570,300,2022,1,14,1,67,12
801570,300,2022,1,56,1,67,12
801610,414,2022,1,28,1,39,6
801610,414,2022,1,35,1,39,6
801903,222,2022,1,28,1,79,7
801903,222,2022,1,35,1,79,7
801919,245,2022,1,28,1,32,6
801919,245,2022,1,35,1,32,6
802076,114,2022,1,14,1,84,2
802076,114,2022,1,56,1,84,2
802117,173,2022,1,28,1,6,6
802117,173,2022,1,35,1,6,6
802144,208,2022,1,14,1,22,4
802144,208,2022,1,56,1,22,4
802159,212,2022,1,28,1,74,4
802159,212,2022,1,35,1,74,4
802180,221,2022,1,28,1,10,4
802180,221,2022,1,35,1,10,4
802204,235,2022,1,28,1,48,8
802204,235,2022,1,35,1,48,8
802288,289,2022,1,28,1,27,10
802288,289,2022,1,35,1,27,10
802299,307,2022,1,28,1,36,2
802299,307,2022,1,35,1,36,2
802421,414,2022,1,28,1,25,6
802421,414,2022,1,35,1,25,6
802455,434,2022,1,14,1,56,10
802455,434,2022,1,56,1,56,10
802625,639,2022,1,28,1,54,2
802625,639,2022,1,35,1,54,2
802637,644,2022,1,28,1,26,4
