codigo,curso,seccion,modalidad,edificio,salon,inicio,final,dias,catedratico,auxiliar,detalle
1084,DIPLOMADO DE PROPIEDAD INTELECTUAL,,SEMIPRESENCIAL,MEET,VIRTUAL,12:00,14:00,LU  MI,LIGIA EUNICE VASQUEZ DARDON,SIN AUXILIAR,Sin restricciones
5012,COMUNICACION Y REDACCION I,,SEMIPRESENCIAL,MEET,VIRTUAL,18:00,21:00,VI,STAFF,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,01,PRESENCIAL,T-5,LFLUIDOS,10:40,11:30,MA,LUIS EDUARDO PORTILLO ESPAÑA,JOSE ROBERTO SALAZAR SAZO,Sin restricciones
0250,MECANICA DE FLUIDOS,02,PRESENCIAL,T-5,LFLUIDOS,11:30,12:20,MA,LUIS EDUARDO PORTILLO ESPAÑA,JOSE ROBERTO SALAZAR SAZO,Sin restricciones
0250,MECANICA DE FLUIDOS,03,PRESENCIAL,T-5,LFLUIDOS,13:10,14:00,MA,LUIS EDUARDO PORTILLO ESPAÑA,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,04,PRESENCIAL,T-5,LFLUIDOS,14:00,14:50,MA,LUIS EDUARDO PORTILLO ESPAÑA,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,05,PRESENCIAL,T-5,LFLUIDOS,14:50,15:40,MA,LUIS EDUARDO PORTILLO ESPAÑA,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,06,PRESENCIAL,T-5,LFLUIDOS,16:30,17:20,JU,LUIS MANUEL SANDOVAL MENDOZA,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,07,PRESENCIAL,T-5,LFLUIDOS,17:20,18:10,MA,LUIS MANUEL SANDOVAL MENDOZA,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,08,PRESENCIAL,T-5,LFLUIDOS,18:10,19:00,MA,LUIS MANUEL SANDOVAL MENDOZA,SIN AUXILIAR,Sin restricciones
0250,MECANICA DE FLUIDOS,09,PRESENCIAL,T-5,LFLUIDOS,19:00,19:50,MA,LUIS MANUEL SANDOVAL MENDOZA,SIN AUXILIAR,Sin restricciones
0252,HIDRAULICA,_1,PRESENCIAL,T-5,LAB-HIDR,15:40,17:20,MA,LUIS EDUARDO PORTILLO ESPAÑA,SIN AUXILIAR,Sin restricciones
0458,MECANICA DE SUELOS 1,_1,PRESENCIAL,T-5,CII,14:00,15:40,MA,OMAR ENRIQUE MEDRANO MENDEZ,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,1,PRESENCIAL,T-5,CII,12:20,14:00,MA,DARIO FRANCISCO LUCAS MAZARIEGOS,JUAN MANUEL CHAVAJAY SOSA,Sin restricciones
0302,RESISTENCIA DE MATERIALES 2,1,PRESENCIAL,T-5,CII,13:10,14:00,MA,OMAR ENRIQUE MEDRANO MENDEZ,SIN AUXILIAR,Sin restricciones
0453,MATERIALES DE CONSTRUCCION 1,1,PRESENCIAL,T-5,CII,14:50,16:30,LU,DILMA YANET MEJICANOS JOL,ABNER ADIEL BAC QUISQUE,Sin restricciones
0080,TOPOGRAFIA 1,1,PRESENCIAL,S-11,104-DIB,07:10,09:40,MA,MARIO ESTUARDO ARRIOLA AVILA,SIN AUXILIAR,Sin restricciones
0082,TOPOGRAFIA 2,1,PRESENCIAL,S-11,104-DIB,07:10,09:40,JU,MARIO ESTUARDO ARRIOLA AVILA,SIN AUXILIAR,Sin restricciones
0084,TOPOGRAFIA 3,1,PRESENCIAL,T-3,211,11:20,13:00,SA,NICOLAS DE JESUS GUZMAN SAENZ,SIN AUXILIAR,Sin restricciones
0550,VIAS TERRESTRES 1,1+,PRESENCIAL,T-3,212,07:10,10:30,SA,ALEJANDRO CASTAÑON LOPEZ,SIN AUXILIAR,Ver Restricciones
0550,VIAS TERRESTRES 1,1-,PRESENCIAL,T-3,213,07:10,10:30,SA,CARLOS ENRIQUE PINTO ALONZO,SIN AUXILIAR,Ver Restricciones
0250,MECANICA DE FLUIDOS,10,PRESENCIAL,T-5,LFLUIDOS,11:30,12:20,JU,LUIS EDUARDO PORTILLO ESPAÑA,SIN AUXILIAR,Sin restricciones
0300,RESISTENCIA DE MATERIALES 1,10,PRESENCIAL,T-5,CII,12:20,14:00,MA,DARIO FRANCISCO LUCAS MAZARIEGOS,SIN AUXILIAR,Sin restricciones
