CODIGO,NOMBRE,CREDITOS,SEMESTRE,CODIGO_PRERREQUISITO,TIPO
0017,Área Social Humanística 1,3,1,,OBLIGATORIO
0069,Área Técnica Complementaria 1,4,1,,OBLIGATORIO
0101,Área Matemática Básica 1,9,1,,OBLIGATORIO
0348,Química General 1,7,1,,OBLIGATORIO
0006,Idioma Técnico 1,3,1,,OPCIONAL
0039,Deportes 1,2,1,,OPCIONAL
0005,Técnicas de Estudio e Investigación,3,1,,OBLIGATORIO
0019,Área Social Humanística 2,3,1,0017,OBLIGATORIO
0103,Área Matemática Básica 2,9,1,0101,OBLIGATORIO
0147,Física Básica,5,1,0101,OBLIGATORIO
0769,Introducción a la Programación de Computadoras,5,1,0101,OBLIGATORIO
0008,Idioma Técnico 2,3,1,0006,OPCIONAL
0040,Deportes 2,2,1,0039,OPCIONAL
0018,Filosofía de la Ciencia,1,1,0019,OBLIGATORIO
0107,Área Matemática Intermedia 1,9,1,0103,OBLIGATORIO
0150,Física 1,5,1,0103,OBLIGATORIO
0150,Física 1,5,1,0147,OBLIGATORIO
0991,Lenguajes de Programación Aplicados a I.E.,5,1,0769,OBLIGATORIO
2025,Prácticas Iniciales,0,1,0103,OBLIGATORIO
2025,Prácticas Iniciales,0,1,0769,OBLIGATORIO
0009,Idioma Técnico 3,3,1,0008,OPCIONAL
0010,Lógica,1,1,0019,OBLIGATORIO
0112,Área Matemática Intermedia 2,6,1,0107,OBLIGATORIO
0114,Área Matemática Intermedia 3,6,1,0107,OBLIGATORIO
0152,Física 2,6,1,0107,OBLIGATORIO
0152,Física 2,6,1,0150,OBLIGATORIO
0732,Estadística 1,5,1,0107,OBLIGATORIO
0732,Estadística 1,5,1,0005,OBLIGATORIO
0011,Idioma Técnico 4,3,1,0009,OPCIONAL
0118,Matemática Aplicada 1,5,1,0112,OBLIGATORIO
0118,Matemática Aplicada 1,5,1,0114,OBLIGATORIO
0123,Matemática Aplicada 5,5,1,0112,OBLIGATORIO
0123,Matemática Aplicada 5,5,1,0114,OBLIGATORIO
0154,Física 3,6,1,0152,OBLIGATORIO
