CODIGO,NOMBRE,CREDITOS,SEMESTRE,CODIGO_PRERREQUISITO,TIPO
0005,Técnicas de Estudio e Investigación,3,1,,OBLIGATORIO
0017,Área Social Humanística 1,3,1,,OBLIGATORIO
0101,Área Matemática Básica 1,9,1,,OBLIGATORIO
0006,Idioma Técnico 1,3,1,,OPCIONAL
0039,Deportes 1,2,1,,OPCIONAL
0019,Área Social Humanística 2,3,1,0017,OBLIGATORIO
0103,Área Matemática Básica 2,9,1,0101,OBLIGATORIO
0147,Física Básica,5,1,0101,OBLIGATORIO
0960,Matemática para Computación 1,5,1,0101,OBLIGATORIO
0008,Idioma Técnico 2,3,1,0006,OPCIONAL
0040,Deportes 2,2,1,0039,OPCIONAL
0107,Área Matemática Intermedia 1,9,1,0103,OBLIGATORIO
0150,Física 1,5,1,0103,OBLIGATORIO
0150,Física 1,5,1,0147,OBLIGATORIO
0770,Introducción a la Programación y Computación 1,6,1,0103,OBLIGATORIO
0770,Introducción a la Programación y Computación 1,6,1,0147,OBLIGATORIO
0770,Introducción a la Programación y Computación 1,6,1,0960,OBLIGATORIO
0795,Lógica de Sistemas,3,1,0103,OBLIGATORIO
0795,Lógica de Sistemas,3,1,0147,OBLIGATORIO
0795,Lógica de Sistemas,3,1,0960,OBLIGATORIO
0962,Matemática para Computación 2,5,1,0103,OBLIGATORIO
0962,Matemática para Computación 2,5,1,0147,OBLIGATORIO
0962,Matemática para Computación 2,5,1,0960,OBLIGATORIO
0001,Ética Profesional,2,1,0019,OPCIONAL
0009,Idioma Técnico 3,3,1,0008,OPCIONAL
0112,Área Matemática Intermedia 2,6,1,0107,OBLIGATORIO
0114,Área Matemática Intermedia 3,6,1,0107,OBLIGATORIO
0152,Física 2,6,1,0107,OBLIGATORIO
0152,Física 2,6,1,0150,OBLIGATORIO
0771,Introducción a la Programación y Computación 2,6,1,0107,OBLIGATORIO
0771,Introducción a la Programación y Computación 2,6,1,0770,OBLIGATORIO
0771,Introducción a la Programación y Computación 2,6,1,0795,OBLIGATORIO
0771,Introducción a la Programación y Computación 2,6,1,0960,OBLIGATORIO
0796,Lenguajes Formales y de Programación,4,1,0770,OBLIGATORIO
0796,Lenguajes Formales y de Programación,4,1,0795,OBLIGATORIO
0796,Lenguajes Formales y de Programación,4,1,0960,OBLIGATORIO
2025,Prácticas Iniciales,0,1,0103,OBLIGATORIO
2025,Prácticas Iniciales,0,1,0770,OBLIGATORIO
0010,Lógica,1,1,0019,OPCIONAL
0011,Idioma Técnico 4,3,1,0009,OPCIONAL
0116,Matemática Aplicada 3,5,1,0112,OBLIGATORIO
0116,Matemática Aplicada 3,5,1,0114,OBLIGATORIO
0118,Matemática Aplicada 1,5,1,0112,OBLIGATORIO
0118,Matemática Aplicada 1,5,1,0114,OBLIGATORIO
0732,Estadística 1,5,1,0107,OBLIGATORIO
0732,Estadística 1,5,1,0005,OBLIGATORIO
0772,Estructuras de Datos,6,1,0771,OBLIGATORIO
0772,Estructuras de Datos,6,1,0796,OBLIGATORIO
0772,Estructuras de Datos,6,1,0962,OBLIGATORIO
0777,Organización de Lenguajes y Compiladores 1,6,1,0771,OBLIGATORIO
0777,Organización de Lenguajes y Compiladores 1,6,1,0796,OBLIGATORIO
0777,Organización de Lenguajes y Compiladores 1,6,1,0962,OBLIGATORIO
0964,Organización Computacional,4,1,0152,OBLIGATORIO
0964,Organización Computacional,4,1,0771,OBLIGATORIO
0964,Organización Computacional,4,1,0962,OBLIGATORIO
0018,Filosofía de la Ciencia,1,1,0019,OPCIONAL
0014,Economía,3,1,0732,OBLIGATORIO
0601,Investigación de Operaciones I,6,1,0732,OBLIGATORIO
0601,Investigación de Operaciones I,6,1,0771,OBLIGATORIO
0722,Teoría de Sistemas 1,4,1,0116,OBLIGATORIO
0722,Teoría de Sistemas 1,4,1,0118,OBLIGATORIO
0722,Teoría de Sistemas 1,4,1,0732,OBLIGATORIO
0722,Teoría de Sistemas 1,4,1,0772,OBLIGATORIO
0773,Manejo e Implementación de Archivos,5,1,0772,OBLIGATORIO
0773,Manejo e Implementación de Archivos,5,1,0796,OBLIGATORIO
0778,Arquitectura de Computadores y Ensambladores 1,5,1,0796,OBLIGATORIO
0778,Arquitectura de Computadores y Ensambladores 1,5,1,0964,OBLIGATORIO
0781,Organización de Lenguajes y Compiladores 2,6,1,0772,OBLIGATORIO
0781,Organización de Lenguajes y Compiladores 2,6,1,0777,OBLIGATORIO
0120,Matemática Aplicada 2,5,1,0118,OPCIONAL
0122,Matemática Aplicada 4,5,1,0118,OPCIONAL
0200,Ingeniería Eléctrica 1,6,1,0114,OPCIONAL
0200,Ingeniería Eléctrica 1,6,1,0152,OPCIONAL
0281,Sistemas Operativos 1,6,1,0778,OBLIGATORIO
0281,Sistemas Operativos 1,6,1,0781,OBLIGATORIO
0603,Investigación de Operaciones II,6,1,0601,OBLIGATORIO
0724,Teoría de Sistemas 2,4,1,0601,OBLIGATORIO
0724,Teoría de Sistemas 2,4,1,0722,OBLIGATORIO
0774,Sistemas de Bases de Datos 1,6,1,0773,OBLIGATORIO
0779,Arquitectura de Computadores y Ensambladores 2,5,1,0778,OBLIGATORIO
0970,Redes de Computadoras 1,5,1,0773,OBLIGATORIO
0970,Redes de Computadoras 1,5,1,0778,OBLIGATORIO
2036,Prácticas Intermedias,0,1,0773,OBLIGATORIO
2036,Prácticas Intermedias,0,1,0777,OBLIGATORIO
2036,Prácticas Intermedias,0,1,0778,OBLIGATORIO
2036,Prácticas Intermedias,0,1,2025,OBLIGATORIO
0734,Estadística 2,5,1,0732,OPCIONAL
0283,Análisis y Diseño de Sistemas 1,6,1,0774,OBLIGATORIO
0285,Sistemas Operativos 2,4,1,0281,OBLIGATORIO
0775,Sistemas de Bases de Datos 2,7,1,0281,OBLIGATORIO
0775,Sistemas de Bases de Datos 2,7,1,0774,OBLIGATORIO
0797,Seminario de Sistemas I,5,1,0281,OBLIGATORIO
0797,Seminario de Sistemas I,5,1,0724,OBLIGATORIO
0797,Seminario de Sistemas I,5,1,0774,OBLIGATORIO
0975,Redes de Computadoras 2,6,1,0970,OBLIGATORIO
0700,Ingeniería Económica 1,4,1,0732,OPCIONAL
0729,Modelación y Simulación 1,5,1,0603,OBLIGATORIO
0729,Modelación y Simulación 1,5,1,0724,OBLIGATORIO
0785,Análisis y Diseño de Sistemas 2,7,1,0283,OBLIGATORIO
0786,Sistemas Organizacionales y Gerenciales 1,5,1,0283,OBLIGATORIO
0786,Sistemas Organizacionales y Gerenciales 1,5,1,0722,OBLIGATORIO
0798,Seminario de Sistemas 2,5,1,0285,OBLIGATORIO
0798,Seminario de Sistemas 2,5,1,0775,OBLIGATORIO
0798,Seminario de Sistemas 2,5,1,0797,OBLIGATORIO
0972,Inteligencia Artificial 1,7,1,0724,OBLIGATORIO
0972,Inteligencia Artificial 1,7,1,0775,OBLIGATORIO
0972,Inteligencia Artificial 1,7,1,0781,OBLIGATORIO
2009,Prácticas Finales Ingeniería Ciencias y Sistemas,0,1,0283,OBLIGATORIO
2009,Prácticas Finales Ingeniería Ciencias y Sistemas,0,1,0285,OBLIGATORIO
2009,Prácticas Finales Ingeniería Ciencias y Sistemas,0,1,0975,OBLIGATORIO
2009,Prácticas Finales Ingeniería Ciencias y Sistemas,0,1,2036,OBLIGATORIO
0776,Bases de Datos Avanzadas,5,1,0775,OPCIONAL
0788,Sistemas Aplicados 1,5,1,0283,OPCIONAL
0966,Seguridad y Auditoría de Redes de Computadoras,3,1,0975,OPCIONAL
0720,Modelación y Simulación 2,6,1,0729,OBLIGATORIO
0780,Software Avanzado,8,1,0785,OBLIGATORIO
0787,Sistemas Organizacionales y Gerenciales 2,6,1,0786,OBLIGATORIO
0799,Seminario de Investigación,3,1,0785,OBLIGATORIO
0799,Seminario de Investigación,3,1,0786,OBLIGATORIO
0799,Seminario de Investigación,3,1,0798,OBLIGATORIO
0735,Auditoría de Proyectos de Software,6,1,0785,OPCIONAL
0789,Sistemas Aplicados 2,5,1,0785,OPCIONAL
0789,Sistemas Aplicados 2,5,1,0788,OPCIONAL
0790,Emprendedores de Negocios Informáticos,6,1,0786,OPCIONAL
0968,Inteligencia Artificial 2,5,1,0972,OPCIONAL
0974,Redes de Nueva Generación,3,1,0975,OPCIONAL
7999,Seminario de Investigación E.P.S. Sistemas,3,1,0785,OPCIONAL
7999,Seminario de Investigación E.P.S. Sistemas,3,1,0786,OPCIONAL
7999,Seminario de Investigación E.P.S. Sistemas,3,1,0798,OPCIONAL
