ESTUDIANTE_CARNET,SECCION_CODIGOCURSO,SECCION_SECCION,SECCION_ANIO,SECCION_CICLO,ZONA,NOTA
1001,101,A,2010,CICLO1,75,91
1001,102,A,2010,CICLO1,62,85
1001,103,A,2010,CICLO1,64,74
1001,104,A,2010,CICLO1,68,90
1001,105,A,2010,CICLO1,67,78
1001,106,A,2010,CICLO2,70,86
1001,107,A,2010,CICLO2,72,84
1001,108,A,2010,CICLO2,73,95
1001,109,A,2010,CICLO2,61,72
1001,110,A,2010,CICLO2,60,76
1001,111,A,2011,CICLO3,59,73
1001,112,A,2011,CICLO3,75,89
1001,113,A,2011,CICLO3,62,74
1001,114,A,2011,CICLO3,64,82
1001,115,A,2011,CICLO3,68,91
1001,116,A,2011,CICLO4,67,80
1001,117,A,2011,CICLO4,70,94
1001,118,A,2011,CICLO4,72,92
1001,119,A,2011,CICLO4,73,96
1001,120,A,2011,CICLO4,61,72
1001,121,A,2012,CICLO5,60,72
1001,122,A,2012,CICLO5,59,82
1001,123,A,2012,CICLO5,75,85
1001,124,A,2012,CICLO5,62,77
1001,125,A,2012,CICLO5,64,79
1001,126,A,2012,CICLO6,68,83
1001,127,A,2012,CICLO6,67,83
1001,128,A,2012,CICLO6,70,88
1001,129,A,2012,CICLO6,72,91
1001,130,A,2012,CICLO6,73,88
1001,131,A,2013,CICLO7,61,77
1001,132,A,2013,CICLO7,60,75
1001,133,A,2013,CICLO7,59,71
1001,134,A,2013,CICLO7,75,100
1001,135,A,2013,CICLO7,62,80
1001,136,A,2013,CICLO8,64,88
1001,137,A,2013,CICLO8,68,89
1001,138,A,2013,CICLO8,67,91
1001,139,A,2013,CICLO8,70,92
1001,140,A,2013,CICLO8,72,83
1001,141,A,2014,CICLO9,73,85
1001,142,A,2014,CICLO9,61,73
1001,143,A,2014,CICLO9,60,74
1001,144,A,2014,CICLO9,59,81
1001,145,A,2014,CICLO9,68,89
1001,146,A,2014,CICLO10,69,84
1001,147,A,2014,CICLO10,73,84
1001,148,A,2014,CICLO10,75,93
1001,149,A,2014,CICLO10,60,78
1001,150,A,2014,CICLO10,55,72
1002,101,A,2010,CICLO1,75,91
1002,102,A,2010,CICLO1,62,85
1002,103,A,2010,CICLO1,64,74
1002,104,A,2010,CICLO1,68,90
1002,105,A,2010,CICLO1,67,78
1002,106,A,2010,CICLO2,70,86
1002,107,A,2010,CICLO2,72,84
1002,108,A,2010,CICLO2,73,95
1002,109,A,2010,CICLO2,61,72
1002,110,A,2010,CICLO2,60,76
1003,101,A,2010,CICLO1,75,91
1003,102,A,2010,CICLO1,62,85
1003,103,A,2010,CICLO1,64,74
1003,104,A,2010,CICLO1,68,90
1003,105,A,2010,CICLO1,67,78
1003,106,A,2010,CICLO2,70,86
1003,107,A,2010,CICLO2,72,84
1003,108,A,2010,CICLO2,73,95
1003,109,A,2010,CICLO2,61,72
1003,110,A,2010,CICLO2,60,76
1003,111,A,2011,CICLO3,59,73
1003,112,A,2011,CICLO3,75,89
1003,113,A,2011,CICLO3,62,74
1003,114,A,2011,CICLO3,64,82
1003,115,A,2011,CICLO3,68,91
1003,116,A,2011,CICLO4,67,80
1003,117,A,2011,CICLO4,70,94
1003,118,A,2011,CICLO4,72,92
1003,119,A,2011,CICLO4,73,96
1003,120,A,2011,CICLO4,61,72
1003,121,A,2012,CICLO5,60,72
1003,122,A,2012,CICLO5,59,82
1003,123,A,2012,CICLO5,75,85
1003,124,A,2012,CICLO5,62,77
1003,125,A,2012,CICLO5,64,79
1003,126,A,2012,CICLO6,68,83
1003,127,A,2012,CICLO6,67,83
1003,128,A,2012,CICLO6,70,88
1003,129,A,2012,CICLO6,72,91
1003,130,A,2012,CICLO6,73,88
1003,131,A,2013,CICLO7,61,77
1003,132,A,2013,CICLO7,60,75
1003,133,A,2013,CICLO7,59,71
1003,134,A,2013,CICLO7,75,100
1003,135,A,2013,CICLO7,62,80
1003,136,A,2013,CICLO8,64,88
1003,137,A,2013,CICLO8,68,89
1003,138,A,2013,CICLO8,67,91
1003,139,A,2013,CICLO8,70,92
1003,140,A,2013,CICLO8,72,83
1003,141,A,2014,CICLO9,73,85
1003,142,A,2014,CICLO9,61,73
1003,143,A,2014,CICLO9,60,74
1003,144,A,2014,CICLO9,59,81
1003,145,A,2014,CICLO9,68,89
1003,146,A,2014,CICLO10,69,84
1003,147,A,2014,CICLO10,73,84
1003,148,A,2014,CICLO10,75,93
1003,149,A,2014,CICLO10,60,78
1003,150,A,2014,CICLO10,55,72
1004,101,B,2010,CICLO1,75,91
1004,102,B,2010,CICLO1,62,85
1004,103,B,2010,CICLO1,64,74
1004,104,B,2010,CICLO1,68,90
1004,105,B,2010,CICLO1,67,78
1004,106,B,2010,CICLO2,70,86
1004,107,B,2010,CICLO2,72,84
1004,108,B,2010,CICLO2,73,95
1004,109,B,2010,CICLO2,61,72
1004,110,B,2010,CICLO2,60,76
1004,111,B,2011,CICLO3,59,73
1004,112,B,2011,CICLO3,75,89
1004,113,B,2011,CICLO3,62,74
1004,114,B,2011,CICLO3,64,82
1004,115,B,2011,CICLO3,68,91
1004,116,B,2011,CICLO4,67,80
1004,117,B,2011,CICLO4,70,94
1004,118,B,2011,CICLO4,72,92
1004,119,B,2011,CICLO4,73,96
1004,120,B,2011,CICLO4,61,72
1004,121,B,2012,CICLO5,60,72
1004,122,B,2012,CICLO5,59,82
1004,123,B,2012,CICLO5,75,85
1004,124,B,2012,CICLO5,62,77
1004,125,B,2012,CICLO5,64,79
1004,126,B,2012,CICLO6,68,83
1004,127,B,2012,CICLO6,67,83
1004,128,B,2012,CICLO6,70,88
1004,129,B,2012,CICLO6,72,91
1004,130,B,2012,CICLO6,73,88
1004,131,B,2013,CICLO7,61,77
1004,132,B,2013,CICLO7,60,75
1004,133,B,2013,CICLO7,59,71
1004,134,B,2013,CICLO7,75,100
1004,135,B,2013,CICLO7,62,80
1004,136,B,2013,CICLO8,64,88
1004,137,B,2013,CICLO8,68,89
1004,138,B,2013,CICLO8,67,91
1004,139,B,2013,CICLO8,70,92
1004,140,B,2013,CICLO8,72,83
1004,141,B,2014,CICLO9,73,85
1004,142,B,2014,CICLO9,61,73
1004,143,B,2014,CICLO9,60,74
1004,144,B,2014,CICLO9,59,81
1004,145,B,2014,CICLO9,68,89
1004,146,B,2014,CICLO10,69,84
1004,147,B,2014,CICLO10,73,84
1004,148,B,2014,CICLO10,75,93
1004,149,B,2014,CICLO10,60,78
1004,150,B,2014,CICLO10,55,72
1005,101,B,2010,CICLO1,75,91
1005,102,B,2010,CICLO1,62,85
1005,103,B,2010,CICLO1,64,74
1005,104,B,2010,CICLO1,68,90
1005,105,B,2010,CICLO1,67,78
1005,106,B,2010,CICLO2,70,86
1005,107,B,2010,CICLO2,72,84
1005,108,B,2010,CICLO2,73,95
1005,109,B,2010,CICLO2,61,72
1005,110,B,2010,CICLO2,60,76
1005,111,B,2011,CICLO3,59,73
1005,112,B,2011,CICLO3,75,89
1005,113,B,2011,CICLO3,62,74
1005,114,B,2011,CICLO3,64,82
1005,115,B,2011,CICLO3,68,91
1005,116,B,2011,CICLO4,67,80
1005,117,B,2011,CICLO4,70,94
1005,118,B,2011,CICLO4,72,92
1005,119,B,2011,CICLO4,73,96
1005,120,B,2011,CICLO4,61,72
1005,121,B,2012,CICLO5,60,72
1005,122,B,2012,CICLO5,59,82
1005,123,B,2012,CICLO5,75,85
1005,124,B,2012,CICLO5,62,77
1005,125,B,2012,CICLO5,64,79
1005,126,B,2012,CICLO6,68,83
1005,127,B,2012,CICLO6,67,83
1005,128,B,2012,CICLO6,70,88
1005,129,B,2012,CICLO6,72,91
1005,130,B,2012,CICLO6,73,88
1005,131,B,2013,CICLO7,61,77
1005,132,B,2013,CICLO7,60,75
1005,133,B,2013,CICLO7,59,71
1005,134,B,2013,CICLO7,75,100
1005,135,B,2013,CICLO7,62,80
1005,136,B,2013,CICLO8,64,88
1005,137,B,2013,CICLO8,68,89
1005,138,B,2013,CICLO8,67,91
1005,139,B,2013,CICLO8,70,92
1005,140,B,2013,CICLO8,72,83
1005,141,B,2014,CICLO9,73,85
1005,142,B,2014,CICLO9,61,73
1005,143,B,2014,CICLO9,60,74
1005,144,B,2014,CICLO9,59,81
1005,145,B,2014,CICLO9,68,89
1005,146,B,2014,CICLO10,69,84
1005,147,B,2014,CICLO10,73,84
1005,148,B,2014,CICLO10,75,93
1005,149,B,2014,CICLO10,60,78
1005,150,B,2014,CICLO10,55,72
1006,101,A,2010,CICLO1,75,100
1006,102,A,2010,CICLO1,75,100
1006,103,A,2010,CICLO1,75,100
1006,104,A,2010,CICLO1,75,100
1006,105,A,2010,CICLO1,75,100
1006,106,A,2010,CICLO2,75,100
1006,107,A,2010,CICLO2,75,100
1006,108,A,2010,CICLO2,75,100
1006,109,A,2010,CICLO2,75,100
1006,110,A,2010,CICLO2,75,100
1006,111,A,2011,CICLO3,75,100
1006,112,A,2011,CICLO3,75,100
1006,113,A,2011,CICLO3,75,100
1006,114,A,2011,CICLO3,75,100
1006,115,A,2011,CICLO3,75,100
1006,116,A,2011,CICLO4,75,100
1006,117,A,2011,CICLO4,75,100
1006,118,A,2011,CICLO4,75,100
1006,119,A,2011,CICLO4,75,100
1006,120,A,2011,CICLO4,75,100
1006,121,A,2012,CICLO5,75,100
1006,122,A,2012,CICLO5,75,100
1006,123,A,2012,CICLO5,75,100
1006,124,A,2012,CICLO5,75,100
1006,125,A,2012,CICLO5,75,100
1006,126,A,2012,CICLO6,75,100
1006,127,A,2012,CICLO6,75,100
1006,128,A,2012,CICLO6,75,100
1006,129,A,2012,CICLO6,75,100
1006,130,A,2012,CICLO6,75,100
1006,131,A,2013,CICLO7,75,100
1006,132,A,2013,CICLO7,75,100
1006,133,A,2013,CICLO7,75,100
1006,134,A,2013,CICLO7,75,100
1006,135,A,2013,CICLO7,75,100
1006,136,A,2013,CICLO8,75,100
1006,137,A,2013,CICLO8,75,100
1006,138,A,2013,CICLO8,75,100
1006,139,A,2013,CICLO8,75,100
1006,140,A,2013,CICLO8,75,100
1006,141,A,2014,CICLO9,75,100
1006,142,A,2014,CICLO9,75,100
1006,143,A,2014,CICLO9,75,100
1006,144,A,2014,CICLO9,75,100
1006,145,A,2014,CICLO9,75,100
1006,146,A,2014,CICLO10,75,100
1006,147,A,2014,CICLO10,75,100
1006,148,A,2014,CICLO10,75,100
1006,149,A,2014,CICLO10,75,100
1006,150,A,2014,CICLO10,75,100
1007,101,A,2010,CICLO1,75,91
1007,104,A,2010,CICLO1,68,90
1007,105,A,2010,CICLO1,67,78
1001,101,A,2010,CICLO1,75,91
1001,102,A,2010,CICLO1,62,85
1001,103,A,2010,CICLO1,64,74
1001,104,A,2010,CICLO1,68,90
1001,105,A,2010,CICLO1,67,78
1001,107,A,2010,CICLO2,72,84
1001,108,A,2010,CICLO2,73,95
1001,109,A,2010,CICLO2,61,72
1001,110,A,2010,CICLO2,60,76
1001,111,A,2011,CICLO3,59,73
1001,112,A,2011,CICLO3,75,89
1001,113,A,2011,CICLO3,62,74
1001,114,A,2011,CICLO3,64,82
1001,115,A,2011,CICLO3,68,91
1001,116,A,2011,CICLO4,67,80
1001,117,A,2011,CICLO4,70,94
1001,118,A,2011,CICLO4,72,92
1001,119,A,2011,CICLO4,73,96
1001,120,A,2011,CICLO4,61,72
1001,121,A,2012,CICLO5,60,72
1001,122,A,2012,CICLO5,59,82
1001,123,A,2012,CICLO5,75,85
1001,124,A,2012,CICLO5,62,77
1001,125,A,2012,CICLO5,64,79
1001,126,A,2012,CICLO6,68,83
1001,127,A,2012,CICLO6,67,83
1001,128,A,2012,CICLO6,70,88
1001,129,A,2012,CICLO6,72,91
1001,130,A,2012,CICLO6,73,88
1001,131,A,2013,CICLO7,61,77
1001,132,A,2013,CICLO7,60,75
1001,133,A,2013,CICLO7,59,71
1001,134,A,2013,CICLO7,75,100
1001,135,A,2013,CICLO7,62,80
1001,136,A,2013,CICLO8,64,88
1001,137,A,2013,CICLO8,68,89
1001,138,A,2013,CICLO8,67,91
1001,139,A,2013,CICLO8,70,92
1001,140,A,2013,CICLO8,72,83
1001,141,A,2014,CICLO9,73,85
1001,142,A,2014,CICLO9,61,73
1001,143,A,2014,CICLO9,60,74
1001,144,A,2014,CICLO9,59,81
1001,145,A,2014,CICLO9,68,89
1001,146,A,2014,CICLO10,69,84
1001,147,A,2014,CICLO10,73,84
1001,148,A,2014,CICLO10,75,93
1001,149,A,2014,CICLO10,60,78
1001,150,A,2014,CICLO10,55,72
